Participant ID,Task ID,System ID,User Answer,Completion Time (seconds),User Difficulty Rating (1 easy - 5 difficult),Artefact,Comments,Score
4,2,C,"Athens,Nicosia,Bogot",125,1,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-2-C.png,Indescirnible Pointers,3
4,2,A,NA,290,3,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-2-A.png,Non-Existent Values,0
4,2,B,"Rome,Bogot,Vienna",90,1,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-2-B.png,Indescirnible Pointers,3
4,1,C,#18,24,2,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-1-C.png,Easy to capture,1
4,1,A,#18,30,1,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-1-A.png,Easy to capture,1
4,1,B,#18,16,1,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-1-B.png,Easy to capture,1
4,3,C,"2024-08-12,16.8",75,2,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-3-C.png,Intricate to Span Time,1
4,3,A,"2024-08-12,16",42,1,https://github.com/siddydutta/Multiview-Visualisation-Systems/blob/main/Evaluation/Artefacts/4-3-A.png,Easy to capture,1
4,3,B,"2024-08-12,19.5",165,3,,Intricate to Span Time,1
5,1,A,#18,13,1,,Easy to capture,1
5,1,C,#18,27,2,,Couldn't recognise pie chart filter,1
5,1,B,#18,27,1,,Easy to capture,1
5,4,A,"Luxembourg,London,Brussels",40,1,,,3
5,4,C,"Luxembourg,London,Brussels",65,2,,,3
5,4,B,NA,180,4,,,0
5,2,A,"2024-08-12,27.6",61,2,,,1
5,2,C,"2024-08-12,NA",180,3,,,1
5,2,B,"2024-08-12,29.3",104,4,,,1
5,3,A,"Bogot, Bucharest,Vienna",65,2,,,3
5,3,C,"Bogot, Bucharest,Vienna",50,2,,,3
5,3,B,"Bogot, Bucharest,NA",101,4,,,2
